age;male;Drugs;Hospitals;Other Institutions;Other Professionals;Physicians;Total
70;True;901.9664331430366;3846.980235876733;904.7345336510855;120.95423659893788;1939.8580829272626;7714.493522197055
71;False;897.7450430586658;3208.2901734473994;1471.3684870123964;281.6564366721309;1900.1094813413247;7759.169621531916
71;True;937.3501942650142;4155.160931582537;1083.2320302179721;129.5375141247784;2030.821490995328;8336.10216118563
72;False;929.2145312558689;3451.00478013722;1769.405159867863;292.9805044192292;1965.0714450553778;8407.676420735559
72;True;972.7339553869919;4463.341627288341;1261.7295267848585;138.12079165061894;2121.7848990633934;8957.710800174204
73;False;960.6840194530719;3693.7193868270415;2067.4418327233298;304.30457216632743;2030.0334087694307;9056.183219939201
73;True;1008.1177165089694;4771.522322994146;1440.2270233517452;146.70406917645946;2212.748307131459;9579.31943916278
74;False;992.153507650275;3936.4339935168623;2365.478505578796;315.62863991342573;2094.9953724834836;9704.690019142843
74;True;1043.501477630947;5079.70301869995;1618.7245199186318;155.2873467023;2303.7117151995244;10200.928078151353
75;False;1023.622995847478;4179.148600206683;2663.515178434263;326.95270766052397;2159.9573361975367;10353.196818346485
75;True;1078.8852387529246;5387.883714405754;1797.2220164855182;163.8706242281405;2394.6751232675897;10822.536717139927
76;False;1052.2977701237498;4475.696930626991;3395.911689046571;332.9423896840873;2243.386157055164;11500.234936536563
76;True;1106.2759489920418;5747.314928183131;2264.8870102955984;170.77669376623288;2490.39317201627;11779.647753253274
77;False;1080.9725444000214;4772.245261047299;4128.308199658879;338.93207170765066;2326.814977912791;12647.27305472664
77;True;1133.666659231159;6106.746141960508;2732.552004105679;177.68276330432528;2586.1112207649503;12736.75878936662
78;False;1109.6473186762933;5068.793591467607;4860.704710271188;344.921753731214;2410.2437987704184;13794.311172916721
78;True;1161.0573694702762;6466.177355737884;3200.216997915759;184.58883284241764;2681.8292695136306;13693.869825479967
79;False;1138.3220929525648;5365.341921887916;5593.101220883496;350.91143575477736;2493.6726196280456;14941.3492911068
79;True;1188.4480797093934;6825.608569515261;3667.8819917258397;191.49490238051004;2777.547318262311;14650.980861593314
80;False;1166.9968672288367;5661.890252308224;6325.497731495804;356.9011177783407;2577.101440485673;16088.387409296878
80;True;1215.8387899485106;7185.039783292637;4135.54698553592;198.4009719186024;2873.265367010991;15608.091897706661
81;False;1215.6345185083799;6053.046877131097;6823.042338022358;369.29456478773056;2583.3038892565814;17044.322187706148
81;True;1254.64343141669;7618.801227215;4517.424768794361;202.8879533325802;2885.9030843899022;16479.660465148532
82;False;1264.272169787923;6444.20350195397;7320.586944548913;381.68801179712045;2589.50633802749;18000.25696611542
82;True;1293.4480728848691;8052.5626711373625;4899.302552052801;207.37493474655798;2898.5408017688133;17351.229032590403
83;False;1312.909821067466;6835.360126776843;7818.1315510754675;394.08145880651034;2595.708786798399;18956.191744524684
83;True;1332.2527143530485;8486.324115059726;5281.180335311242;211.86191616053574;2911.178519147724;18222.797600032274
84;False;1361.5474723470093;7226.516751599715;8315.676157602022;406.47490581590023;2601.911235569308;19912.12652293395
84;True;1371.0573558212277;8920.085558982088;5663.058118569683;216.34889757451353;2923.816236526635;19094.366167474145
85;False;1410.1851236265525;7617.673376422587;8813.220764128577;418.8683528252901;2608.1136843402164;20868.061301343223
85;True;1409.861997289407;9353.847002904451;6044.935901828123;220.83587898849132;2936.453953905546;19965.934734916016
86;False;1313.6838639934338;7959.469869626339;11720.024305988865;335.0946822602321;2582.929707575602;23911.20242944447
86;True;1326.7689803365133;9807.641235971501;8108.552460068816;176.66870319079305;2902.19118913105;22321.822568698677
87;False;1217.182604360315;8301.26636283009;14626.827847849156;251.32101169517406;2557.7457308109874;26954.343557545722
87;True;1243.6759633836193;10261.435469038552;10172.169018309509;132.5015273930948;2867.9284243565544;24677.71040248133
88;False;1120.6813447271966;8643.062856033841;17533.631389709444;167.54734113011602;2532.561754046373;29997.48468564697
88;True;1160.5829464307255;10715.229702105602;12235.785576550203;88.33435159539653;2833.6656595820587;27033.598236263984
89;False;1024.1800850940776;8984.859349237593;20440.434931569733;83.77367056505801;2507.3777772817584;33040.62581374822
89;True;1077.4899294778318;11169.023935172652;14299.402134790895;44.16717579769826;2799.402894807563;29389.486070046638
90;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
90;True;994.3969125249379;11622.818168239703;16363.018693031589;0.0;2765.140130033067;31745.3739038293
91;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
91;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
92;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
92;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
93;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
93;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
94;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
94;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
95;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
95;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
96;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
96;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
97;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
97;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
98;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
98;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
99;False;927.678825460959;9326.655842441345;23347.23847343002;0.0;2482.193800517144;36083.76694184947
99;True;994.3969125249379;11622.818168239703;16363.018693031587;0.0;2765.140130033067;31745.3739038293
